emb_file,sampling,classifier,macro_f1,micro_f1,test_set_size
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.21234712682733875,0.2633181126331811,0.1
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.18797511505236084,0.24702380952380953,0.2
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.18364112214031533,0.23578843302026692,0.3
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.17293212533437768,0.2211320754716981,0.4
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.1658406247370094,0.212276988206834,0.5
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.1607296068913714,0.20398889169401668,0.6
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.15021010032818485,0.19594302977988778,0.7
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.14566475447750038,0.19148936170212763,0.8
ppi_CBOW-Embedding_1574319391.280555.emb,sample-random-walk-1574319345.835425,TopKRanker,0.12878398699554736,0.1699611420848116,0.9
ppi_Node2Vec-Embedding_1574323672.225729.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.19402441767167652,0.2480974124809741,0.1
ppi_Node2Vec-Embedding_1574323672.225729.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.20200386554362393,0.23363095238095238,0.2
ppi_Node2Vec-Embedding_1574323672.225729.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.19579805202909079,0.22392486406327236,0.3
ppi_Node2Vec-Embedding_1574323672.225729.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.1865030248218931,0.22,0.4
ppi_Node2Vec-Embedding_1574323672.225729.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.17778002947672825,0.21046265497429695,0.5
ppi_Node2Vec-Embedding_1574323672.225729.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.17078515286286142,0.20121181519818226,0.6
ppi_Node2Vec-Embedding_1574323672.225729.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.16693152208651432,0.19723780750971084,0.7
ppi_Node2Vec-Embedding_1574323672.225729.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.16088221019997634,0.18332066869300911,0.8
ppi_Node2Vec-Embedding_1574323672.225729.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.13722023254265675,0.17148166920087854,0.9
ppi_FastText-Embedding_1574323682.746995.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.2109302199725552,0.2724505327245053,0.1
ppi_FastText-Embedding_1574323682.746995.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.19389733084068425,0.24330357142857142,0.2
ppi_FastText-Embedding_1574323682.746995.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.19169189985026058,0.23529411764705882,0.3
ppi_FastText-Embedding_1574323682.746995.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.18107763099077478,0.22150943396226416,0.4
ppi_FastText-Embedding_1574323682.746995.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.1716009910477644,0.20925309948593893,0.5
ppi_FastText-Embedding_1574323682.746995.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.16027326357677457,0.19767735420348398,0.6
ppi_FastText-Embedding_1574323682.746995.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.1563887145379992,0.1957272334915839,0.7
ppi_FastText-Embedding_1574323682.746995.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.15583118941286378,0.18844984802431608,0.8
ppi_FastText-Embedding_1574323682.746995.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.13603081194363173,0.17502956580503462,0.9
ppi_CBOW-Embedding_1574323714.1594791.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.222496548255409,0.2785388127853881,0.1
ppi_CBOW-Embedding_1574323714.1594791.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.2209276002277569,0.2507440476190476,0.2
ppi_CBOW-Embedding_1574323714.1594791.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.2097862825066395,0.24369747899159663,0.3
ppi_CBOW-Embedding_1574323714.1594791.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.20325059037803514,0.23471698113207548,0.4
ppi_CBOW-Embedding_1574323714.1594791.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.19049159127314536,0.22195343211369822,0.5
ppi_CBOW-Embedding_1574323714.1594791.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.18215981877893658,0.21686442817470336,0.6
ppi_CBOW-Embedding_1574323714.1594791.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.1757718723318867,0.2026327147173069,0.7
ppi_CBOW-Embedding_1574323714.1594791.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.17960940634902095,0.2030775075987842,0.8
ppi_CBOW-Embedding_1574323714.1594791.emb,biased-random-walk-dfs-1574323670.731749,TopKRanker,0.15249179574015284,0.17807062003716845,0.9
ppi_Node2Vec-Embedding_1574329414.038789.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.20774871717268803,0.2678843226788432,0.1
ppi_Node2Vec-Embedding_1574329414.038789.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.1929605429627254,0.23363095238095238,0.2
ppi_Node2Vec-Embedding_1574329414.038789.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.19295848974251711,0.2328225407810183,0.3
ppi_Node2Vec-Embedding_1574329414.038789.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.1912630746236158,0.22867924528301886,0.4
ppi_Node2Vec-Embedding_1574329414.038789.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.17746851384100273,0.21167221046265497,0.5
ppi_Node2Vec-Embedding_1574329414.038789.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.16666923503260114,0.19893966170159047,0.6
ppi_Node2Vec-Embedding_1574329414.038789.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.1650284333536475,0.1974536037980147,0.7
ppi_Node2Vec-Embedding_1574329414.038789.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.160608498455537,0.18674012158054712,0.8
ppi_Node2Vec-Embedding_1574329414.038789.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.14095337745771586,0.17553640817705693,0.9
ppi_FastText-Embedding_1574329422.163388.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.2029065037343029,0.2557077625570776,0.1
ppi_FastText-Embedding_1574329422.163388.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.1853034451217316,0.23139880952380953,0.2
ppi_FastText-Embedding_1574329422.163388.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.17716417398151074,0.2189817103311913,0.3
ppi_FastText-Embedding_1574329422.163388.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.1672217990000514,0.20679245283018868,0.4
ppi_FastText-Embedding_1574329422.163388.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.15967136292701456,0.19473843362564258,0.5
ppi_FastText-Embedding_1574329422.163388.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.15576927651337347,0.19035597071446606,0.6
ppi_FastText-Embedding_1574329422.163388.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.15475612078229134,0.18536901165299957,0.7
ppi_FastText-Embedding_1574329422.163388.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.15547834739774802,0.18370060790273557,0.8
ppi_FastText-Embedding_1574329422.163388.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.1335780324457385,0.17334009123162697,0.9
ppi_CBOW-Embedding_1574329447.7615721.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.18285002123641042,0.2313546423135464,0.1
ppi_CBOW-Embedding_1574329447.7615721.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.18108939567350832,0.21875,0.2
ppi_CBOW-Embedding_1574329447.7615721.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.17267476019604358,0.2125556104794859,0.3
ppi_CBOW-Embedding_1574329447.7615721.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.16491429491587223,0.19962264150943396,0.4
ppi_CBOW-Embedding_1574329447.7615721.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.16107029713698243,0.19413365588146356,0.5
ppi_CBOW-Embedding_1574329447.7615721.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.1577689151934772,0.18429689472355468,0.6
ppi_CBOW-Embedding_1574329447.7615721.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.15226077972065896,0.1760897712559344,0.7
ppi_CBOW-Embedding_1574329447.7615721.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.14123388537146672,0.1702127659574468,0.8
ppi_CBOW-Embedding_1574329447.7615721.emb,biased-random-walk-bfs-1574329412.756756,TopKRanker,0.1314986638291826,0.15948639972968406,0.9
ppi_Node2Vec-Embedding_1574359776.849461.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.21480423217589553,0.2724505327245053,0.1
ppi_Node2Vec-Embedding_1574359776.849461.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.19445077886444045,0.2418154761904762,0.2
ppi_Node2Vec-Embedding_1574359776.849461.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.18678081283041437,0.226890756302521,0.3
ppi_Node2Vec-Embedding_1574359776.849461.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.18761222545252676,0.2188679245283019,0.4
ppi_Node2Vec-Embedding_1574359776.849461.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.1907628366060411,0.21771998790444513,0.5
ppi_Node2Vec-Embedding_1574359776.849461.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.18221683427709556,0.21004796768492806,0.6
ppi_Node2Vec-Embedding_1574359776.849461.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.17156918165976742,0.2039274924471299,0.7
ppi_Node2Vec-Embedding_1574359776.849461.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.16663706825368274,0.1918693009118541,0.8
ppi_Node2Vec-Embedding_1574359776.849461.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.1426476275002802,0.17705693529312383,0.9
ppi_FastText-Embedding_1574359785.441271.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.18992545551147733,0.2633181126331811,0.1
ppi_FastText-Embedding_1574359785.441271.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.18655440471889143,0.23511904761904762,0.2
ppi_FastText-Embedding_1574359785.441271.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.17774710394456136,0.21997034107760752,0.3
ppi_FastText-Embedding_1574359785.441271.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.16762301868322815,0.20566037735849058,0.4
ppi_FastText-Embedding_1574359785.441271.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.1641727714490162,0.19806471121862712,0.5
ppi_FastText-Embedding_1574359785.441271.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.1643185495210789,0.1984347387023479,0.6
ppi_FastText-Embedding_1574359785.441271.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.15562154576333395,0.18731117824773413,0.7
ppi_FastText-Embedding_1574359785.441271.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.15452266894083455,0.18541033434650456,0.8
ppi_FastText-Embedding_1574359785.441271.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.12938041117377647,0.17080587937151545,0.9
ppi_CBOW-Embedding_1574359816.124883.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.19094554885541337,0.2541856925418569,0.1
ppi_CBOW-Embedding_1574359816.124883.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.16928331531797597,0.22842261904761904,0.2
ppi_CBOW-Embedding_1574359816.124883.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.17301283373059279,0.22936233316856156,0.3
ppi_CBOW-Embedding_1574359816.124883.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.16584891594221327,0.21471698113207546,0.4
ppi_CBOW-Embedding_1574359816.124883.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.1583865202563791,0.20985787723011792,0.5
ppi_CBOW-Embedding_1574359816.124883.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.14836059369672225,0.1994445847008331,0.6
ppi_CBOW-Embedding_1574359816.124883.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.14512891124394403,0.18839015968925335,0.7
ppi_CBOW-Embedding_1574359816.124883.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.14150763501412775,0.19053951367781155,0.8
ppi_CBOW-Embedding_1574359816.124883.emb,node2vec-random-walk-1574359775.577266,TopKRanker,0.12202442492965422,0.16573745565129244,0.9
